Age (years),Height_5th,Height_10th,Height_25th,Height_50th,Height_75th,Height_90th,Height_95th,,,,,,,,,,
1,75.4,76.6,78.6,80.8,83,84.9,86.1,,,,,,,,,,
2,84.9,86.3,88.6,91.1,93.7,96,97.4,,,,,,,,,,
3,91,92.4,94.9,97.6,100.5,103.1,104.6,,,,,,,,,,
4,97.2,98.8,101.4,104.5,107.6,110.5,112.2,,,,,,,,,,
5,103.6,105.3,108.2,111.5,114.9,118.1,120,,,,,,,,,,
6,110,111.8,114.9,118.4,122.1,125.6,127.7,,,,,,,,,,
7,115.9,117.8,121.1,124.9,128.8,132.5,134.7,,,,,,,,,,
8,121,123,126.5,130.6,134.7,138.5,140.9,,,,,,,,,,
9,125.3,127.6,131.3,135.6,140.1,144.1,146.6,,,,,,,,,,
10,129.7,132.2,136.3,141,145.8,150.2,152.8,,,,,,,,,,
11,135.6,138.3,142.8,147.8,152.8,157.3,160,,,,,,,,,,
12,142.8,145.5,149.9,154.8,159.6,163.8,166.4,,,,,,,,,,
13,148.1,150.6,154.7,159.2,163.7,167.8,170.2,,,,,,,,,,
14,150.6,153,156.9,161.3,165.7,169.7,172.1,,,,,,,,,,
15,151.7,154,157.9,162.3,166.7,170.6,173,,,,,,,,,,
16,152.1,154.5,158.4,162.8,167.1,171.1,173.4,,,,,,,,,,
17,152.4,154.7,158.7,163,167.4,171.3,173.7,,,,,,,,,,
